category,occasion,season,style,body_focus,recommendation,avoid
trousers,Casual,All,Smart Casual,Short legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
coat,Office,Summer,Casual,Short legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,College,Summer,Streetwear,Long legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
dress,Party,All,Elegant,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blouse,Party,Spring,Streetwear,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,Casual,All,Casual,Long legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
coat,College,Winter,Smart Casual,Long legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
jeans,Party,Winter,Casual,Broad shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
coat,College,Autumn,Streetwear,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
blouse,Party,Autumn,Smart Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,College,All,Smart Casual,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Party,All,Smart Casual,Curvy hips,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
dress,Travel,Spring,Smart Casual,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
skirt,Party,All,Smart Casual,Petite,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jeans,College,Summer,Smart Casual,Petite,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
coat,Office,All,Smart Casual,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
jacket,Travel,Summer,Casual,Balanced body,Cropped jackets create balanced proportions.,Extra-long oversized jackets
dress,Party,Autumn,Smart Casual,Narrow shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
skirt,College,Autumn,Elegant,Long legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jeans,Travel,Spring,Casual,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
blazer,Office,Spring,Elegant,Narrow shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
skirt,Travel,Summer,Casual,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jeans,Casual,Autumn,Elegant,Broad shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
blouse,College,Summer,Streetwear,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
coat,College,All,Casual,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Party,Summer,Formal,Long legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blouse,Casual,All,Casual,Narrow shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jacket,Casual,All,Casual,Broad shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
dress,Office,Summer,Formal,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
jeans,Office,All,Smart Casual,Curvy hips,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
blouse,College,Spring,Formal,Long legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Casual,Autumn,Smart Casual,Broad shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blazer,College,Winter,Casual,Narrow shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,Party,Summer,Elegant,Broad shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
jacket,Casual,Autumn,Casual,Curvy hips,Cropped jackets create balanced proportions.,Extra-long oversized jackets
blazer,Casual,Autumn,Streetwear,Curvy hips,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
coat,Travel,Autumn,Casual,Petite,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
blazer,Travel,Summer,Smart Casual,Long legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,Party,All,Casual,Short legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
jacket,College,Winter,Elegant,Curvy hips,Cropped jackets create balanced proportions.,Extra-long oversized jackets
jeans,Party,Winter,Casual,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
dress,Office,Summer,Smart Casual,Curvy hips,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
trousers,Casual,Summer,Casual,Broad shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
jeans,Party,Autumn,Casual,Balanced body,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
jacket,Party,Autumn,Streetwear,Balanced body,Cropped jackets create balanced proportions.,Extra-long oversized jackets
trousers,Casual,All,Casual,Narrow shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
jeans,College,Summer,Streetwear,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
skirt,Casual,All,Casual,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jeans,Travel,Winter,Casual,Long legs,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
blouse,Party,Autumn,Smart Casual,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
coat,Office,Winter,Smart Casual,Balanced body,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
blouse,Party,Summer,Casual,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
trousers,Travel,Spring,Streetwear,Balanced body,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Casual,Autumn,Formal,Narrow shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
jacket,Travel,Spring,Streetwear,Short legs,Cropped jackets create balanced proportions.,Extra-long oversized jackets
blazer,Travel,Spring,Smart Casual,Broad shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
skirt,College,All,Streetwear,Broad shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jacket,Travel,Autumn,Smart Casual,Curvy hips,Cropped jackets create balanced proportions.,Extra-long oversized jackets
dress,College,Spring,Elegant,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
skirt,Casual,Spring,Streetwear,Short legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blouse,Party,Summer,Smart Casual,Narrow shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
skirt,Office,Spring,Elegant,Broad shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
skirt,Office,All,Streetwear,Long legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
dress,Office,Autumn,Streetwear,Petite,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
trousers,Party,Summer,Elegant,Narrow shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
trousers,College,Summer,Streetwear,Broad shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
skirt,Casual,Spring,Elegant,Short legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
dress,Casual,All,Streetwear,Short legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
dress,Office,Summer,Smart Casual,Petite,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
skirt,Casual,All,Formal,Long legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
trousers,Travel,Winter,Streetwear,Balanced body,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,College,All,Smart Casual,Balanced body,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
coat,Travel,All,Formal,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Office,Spring,Streetwear,Petite,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blouse,Travel,Winter,Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Casual,Spring,Elegant,Petite,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
dress,Casual,Summer,Elegant,Long legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
jacket,Office,All,Streetwear,Balanced body,Cropped jackets create balanced proportions.,Extra-long oversized jackets
jacket,College,Autumn,Formal,Broad shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
blouse,Travel,Autumn,Elegant,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
coat,College,Autumn,Elegant,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
blouse,College,Autumn,Elegant,Long legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,Party,All,Streetwear,Petite,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jacket,College,All,Streetwear,Petite,Cropped jackets create balanced proportions.,Extra-long oversized jackets
trousers,College,Autumn,Smart Casual,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
trousers,Office,Autumn,Formal,Long legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
skirt,Party,Summer,Casual,Balanced body,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
dress,Party,All,Smart Casual,Balanced body,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
trousers,Office,Winter,Casual,Petite,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Party,Winter,Elegant,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blazer,Casual,Autumn,Elegant,Broad shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
dress,Party,Summer,Formal,Broad shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blazer,Travel,All,Streetwear,Broad shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
dress,Casual,Summer,Smart Casual,Petite,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
coat,Travel,All,Streetwear,Long legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
jeans,Party,Winter,Elegant,Curvy hips,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
dress,Travel,Autumn,Elegant,Curvy hips,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blazer,Casual,All,Streetwear,Long legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
blouse,Casual,Spring,Streetwear,Curvy hips,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
trousers,College,Winter,Casual,Short legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blazer,College,Winter,Casual,Broad shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
coat,Party,All,Elegant,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
dress,Casual,Summer,Streetwear,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
trousers,Office,Summer,Streetwear,Short legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
trousers,Party,Winter,Formal,Balanced body,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
dress,Party,All,Streetwear,Short legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blouse,Office,All,Casual,Long legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
skirt,Office,Autumn,Streetwear,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
trousers,Travel,Spring,Smart Casual,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blazer,Office,Autumn,Casual,Short legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
jacket,Party,Autumn,Casual,Broad shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
blazer,Casual,Winter,Casual,Short legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
jeans,College,All,Smart Casual,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
trousers,Travel,Winter,Streetwear,Long legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
coat,Travel,Autumn,Formal,Narrow shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,College,Spring,Elegant,Long legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Travel,Spring,Elegant,Short legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
jeans,College,Spring,Elegant,Balanced body,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
trousers,Casual,All,Elegant,Broad shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
blazer,College,Spring,Elegant,Curvy hips,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,College,Spring,Smart Casual,Narrow shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
coat,Casual,All,Streetwear,Curvy hips,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
blouse,Travel,Spring,Formal,Balanced body,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
trousers,Casual,Summer,Elegant,Curvy hips,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
trousers,Travel,Winter,Casual,Short legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
jeans,Office,All,Casual,Balanced body,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
jeans,Party,Autumn,Streetwear,Curvy hips,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
coat,Office,Winter,Streetwear,Broad shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
dress,Office,Autumn,Formal,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
blouse,Casual,Summer,Smart Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jeans,College,Spring,Formal,Petite,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
coat,Office,Spring,Casual,Balanced body,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
dress,College,Autumn,Streetwear,Curvy hips,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
dress,College,Spring,Casual,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
dress,Party,Autumn,Formal,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
coat,Office,Summer,Smart Casual,Balanced body,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
dress,Office,Autumn,Streetwear,Narrow shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blouse,Party,Spring,Formal,Curvy hips,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
trousers,College,Autumn,Casual,Broad shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
dress,Party,Spring,Formal,Short legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
coat,Travel,Spring,Streetwear,Petite,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
dress,Travel,All,Casual,Petite,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
trousers,College,Summer,Casual,Short legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
trousers,Office,Autumn,Casual,Balanced body,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Travel,Autumn,Streetwear,Petite,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
coat,College,Summer,Smart Casual,Short legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
coat,Office,All,Elegant,Short legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Office,Summer,Smart Casual,Narrow shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Travel,All,Casual,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
jacket,Casual,Summer,Smart Casual,Short legs,Cropped jackets create balanced proportions.,Extra-long oversized jackets
trousers,Office,Summer,Smart Casual,Narrow shoulders,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
jeans,College,Summer,Streetwear,Short legs,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
jeans,Travel,Summer,Casual,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
skirt,Casual,Spring,Streetwear,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
trousers,Office,Autumn,Formal,Balanced body,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
dress,Casual,Autumn,Formal,Narrow shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
jacket,Travel,Autumn,Smart Casual,Narrow shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
dress,Casual,Spring,Smart Casual,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blouse,Casual,Winter,Formal,Narrow shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
jeans,Office,Autumn,Smart Casual,Narrow shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
jacket,Casual,Spring,Formal,Long legs,Cropped jackets create balanced proportions.,Extra-long oversized jackets
trousers,Travel,All,Formal,Narrow shoulders,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
jeans,College,Winter,Elegant,Petite,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
dress,Office,All,Casual,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
jeans,College,Winter,Formal,Broad shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
blazer,Travel,Autumn,Streetwear,Balanced body,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
skirt,Casual,Autumn,Streetwear,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jacket,Party,Spring,Elegant,Petite,Cropped jackets create balanced proportions.,Extra-long oversized jackets
skirt,Travel,Spring,Smart Casual,Curvy hips,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jacket,Party,Spring,Streetwear,Broad shoulders,Cropped jackets create balanced proportions.,Extra-long oversized jackets
jacket,Travel,Spring,Casual,Balanced body,Cropped jackets create balanced proportions.,Extra-long oversized jackets
skirt,Party,Spring,Elegant,Curvy hips,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blouse,Party,Spring,Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,Travel,All,Streetwear,Petite,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
trousers,Travel,Spring,Formal,Short legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blouse,College,Spring,Casual,Broad shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Travel,Autumn,Elegant,Narrow shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
skirt,Party,All,Streetwear,Short legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blouse,Travel,Winter,Streetwear,Narrow shoulders,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Office,Spring,Formal,Broad shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
trousers,Casual,All,Smart Casual,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
skirt,Office,Summer,Streetwear,Narrow shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
blazer,Office,Spring,Smart Casual,Narrow shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
jeans,Party,Winter,Casual,Petite,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
jeans,College,Winter,Formal,Petite,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
trousers,Travel,Spring,Elegant,Curvy hips,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
trousers,College,Spring,Formal,Short legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blazer,College,Summer,Formal,Long legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
dress,Travel,Winter,Elegant,Narrow shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
coat,Party,Winter,Elegant,Long legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
skirt,Office,All,Formal,Broad shoulders,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jeans,College,All,Casual,Broad shoulders,Slim straight jeans complement balanced body proportions.,Extremely baggy jeans
coat,Party,Winter,Casual,Balanced body,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
skirt,Travel,All,Streetwear,Balanced body,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
dress,Office,All,Streetwear,Narrow shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
blouse,Party,Winter,Streetwear,Curvy hips,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
skirt,Office,Spring,Formal,Long legs,High-waisted A-line skirts visually lengthen the legs.,Midi skirts ending mid-calf
jacket,Casual,Autumn,Elegant,Curvy hips,Cropped jackets create balanced proportions.,Extra-long oversized jackets
coat,Party,Autumn,Casual,Narrow shoulders,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Office,All,Elegant,Petite,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
dress,Office,Winter,Elegant,Long legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
jacket,Casual,Winter,Streetwear,Short legs,Cropped jackets create balanced proportions.,Extra-long oversized jackets
dress,Casual,Summer,Smart Casual,Narrow shoulders,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
coat,Casual,Spring,Elegant,Balanced body,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
trousers,Office,Summer,Smart Casual,Curvy hips,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blouse,College,Winter,Streetwear,Balanced body,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
blouse,Party,Winter,Casual,Short legs,V-neck blouses soften shoulder width and create vertical balance.,Puff sleeves
dress,Travel,Spring,Smart Casual,Curvy hips,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
dress,Party,Summer,Casual,Narrow shoulders,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
dress,Casual,Winter,Streetwear,Long legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
blazer,Office,Spring,Streetwear,Long legs,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
dress,Office,Autumn,Streetwear,Short legs,Wrap dresses create the illusion of a defined waist.,Loose boxy dresses
trousers,Casual,Autumn,Formal,Long legs,Relaxed straight-fit trousers balance hip width while remaining comfortable.,Skin-tight low-rise trousers
dress,Travel,Summer,Casual,Long legs,Fit-and-flare dresses emphasize the waist while balancing the lower body.,Bodycon dresses with heavy lower-body detailing
trousers,Casual,Winter,Elegant,Curvy hips,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
blazer,Travel,Winter,Formal,Broad shoulders,Structured shoulder blazers improve upper-body balance.,Soft unstructured blazers
trousers,Travel,Summer,Casual,Balanced body,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
trousers,College,All,Elegant,Short legs,Choose high-waisted straight-leg trousers to visually elongate the legs and create balanced proportions.,Low-rise trousers
coat,Casual,Winter,Streetwear,Long legs,Single-breasted coats maintain clean vertical lines.,Oversized double-breasted coats
